gameMode,win,ally0_kills,ally0_assists,ally0_death,ally0_role,ally0_champion,ally0_vision_score,ally0_total_damage,ally0_item0,ally0_item2,ally0_item1,ally0_item3,ally0_item4,ally0_item5,ally0_item6,ally0_minions,ally1_kills,ally1_assists,ally1_death,ally1_role,ally1_champion,ally1_vision_score,ally1_total_damage,ally1_item0,ally1_item2,ally1_item1,ally1_item3,ally1_item4,ally1_item5,ally1_item6,ally1_minions,ally2_kills,ally2_assists,ally2_death,ally2_role,ally2_champion,ally2_vision_score,ally2_total_damage,ally2_item0,ally2_item2,ally2_item1,ally2_item3,ally2_item4,ally2_item5,ally2_item6,ally2_minions,ally3_kills,ally3_assists,ally3_death,ally3_role,ally3_champion,ally3_vision_score,ally3_total_damage,ally3_item0,ally3_item2,ally3_item1,ally3_item3,ally3_item4,ally3_item5,ally3_item6,ally3_minions,me_kills,me_assists,me_death,me_role,me_champion,me_vision_score,me_total_damage,me_item0,me_item2,me_item1,me_item3,me_item4,me_item5,me_item6,me_minions,enemy4_kills,enemy4_assists,enemy4_death,enemy4_role,enemy4_champion,enemy4_vision_score,enemy4_total_damage,enemy4_item0,enemy4_item2,enemy4_item1,enemy4_item3,enemy4_item4,enemy4_item5,enemy4_item6,enemy4_minions,enemy0_kills,enemy0_assists,enemy0_death,enemy0_role,enemy0_champion,enemy0_vision_score,enemy0_total_damage,enemy0_item0,enemy0_item2,enemy0_item1,enemy0_item3,enemy0_item4,enemy0_item5,enemy0_item6,enemy0_minions,enemy1_kills,enemy1_assists,enemy1_death,enemy1_role,enemy1_champion,enemy1_vision_score,enemy1_total_damage,enemy1_item0,enemy1_item2,enemy1_item1,enemy1_item3,enemy1_item4,enemy1_item5,enemy1_item6,enemy1_minions,enemy2_kills,enemy2_assists,enemy2_death,enemy2_role,enemy2_champion,enemy2_vision_score,enemy2_total_damage,enemy2_item0,enemy2_item2,enemy2_item1,enemy2_item3,enemy2_item4,enemy2_item5,enemy2_item6,enemy2_minions,enemy3_kills,enemy3_assists,enemy3_death,enemy3_role,enemy3_champion,enemy3_vision_score,enemy3_total_damage,enemy3_item0,enemy3_item2,enemy3_item1,enemy3_item3,enemy3_item4,enemy3_item5,enemy3_item6,enemy3_minions
ARAM,True,7,23,7,SUPPORT,117,0,42162,6677,3006,6672,3153,1037,1052,2052,43,11,21,8,SUPPORT,268,0,51306,6655,3115,3020,3145,1058,0,2052,29,3,30,4,SUPPORT,75,0,41811,6632,3076,3047,1011,0,0,0,36,9,26,8,SUPPORT,78,0,22963,6665,3047,2031,3075,1057,3066,2052,13,11,13,9,SUPPORT,56,0,27629,6696,3070,3047,6691,3134,1018,2052,20,3,14,7,SUPPORT,266,0,19284,3047,3133,6630,3067,1036,0,2052,12,9,15,10,DUO,133,0,51824,3184,3094,3070,3031,6670,1043,2052,45,12,12,13,DUO,777,0,57706,3087,3006,3031,1053,1043,1037,2052,48,8,15,8,SUPPORT,13,0,20900,6657,3070,3050,3067,3158,3916,2052,6,4,10,3,SUPPORT,57,0,12091,2051,3070,6667,1001,0,0,2052,4
ARAM,False,7,29,9,SUPPORT,126,0,72807,3814,6691,6694,3111,6676,1036,0,54,7,24,15,DUO,10,0,78603,6692,3006,6672,3153,3051,1043,2052,55,6,25,20,SUPPORT,38,0,48775,6657,3040,3111,3100,1058,1058,2052,15,26,21,11,DUO,51,0,136878,6691,6676,3006,3036,3072,3094,2052,62,11,32,7,DUO,63,0,121350,6653,4637,2421,3116,3089,3020,2052,79,9,22,13,SUPPORT,875,0,55248,3084,3068,3047,3075,4401,0,2052,40,5,25,9,SUPPORT,120,0,47969,3111,3065,6632,3042,3133,1053,0,40,10,23,9,SUPPORT,35,0,55438,6653,4645,3158,3165,4637,0,0,22,34,16,12,DUO,21,0,171752,6691,6676,3006,3036,3072,6672,0,134,4,36,15,SOLO,77,0,30699,6665,4637,3068,3047,1057,3066,2052,15
ARAM,True,4,28,6,SUPPORT,516,0,36741,7027,3083,2031,3111,3024,4401,2052,26,12,25,7,DUO,29,0,86657,6672,3006,7030,3085,3091,1053,0,76,16,24,13,SUPPORT,96,0,82105,3006,3124,3153,3091,3748,1053,2052,52,11,27,8,SUPPORT,76,0,35641,7013,4628,3020,4645,3089,0,2052,6,13,23,12,SUPPORT,268,0,74780,7013,4645,3157,3115,3020,0,0,69,14,18,19,SUPPORT,20,0,67701,4636,4645,3020,3089,4630,0,0,29,8,10,9,SUPPORT,18,0,60162,6672,3031,3006,3094,3133,3035,2052,51,3,19,8,DUO,13,0,74369,6655,3040,3020,3110,3113,1052,2052,67,20,13,15,SUPPORT,9,0,64362,3020,4645,3152,3089,3108,3157,2052,33,1,34,5,SUPPORT,267,0,23333,4005,3158,3040,6655,1004,0,0,15
CLASSIC,True,5,9,6,SOLO,82,23,172896,6665,3076,3047,3116,3068,1011,3340,179,11,15,8,SOLO,777,15,134179,3031,3006,6672,6673,1037,3044,3340,125,21,17,9,CARRY,22,28,189432,3085,3006,6672,3091,1053,3031,3340,156,5,43,4,SUPPORT,902,74,35777,3853,3011,2065,6616,3158,3504,3364,17,12,27,2,NONE,154,14,181615,3075,3047,3068,6667,4637,0,3364,29,5,11,12,SUPPORT,25,57,83416,3853,3020,6653,3116,3165,1052,3340,43,2,6,9,NONE,86,15,98459,3742,3047,6631,3076,1028,0,3340,124,5,6,11,NONE,141,30,172889,6693,3047,6691,3071,1031,0,3340,44,16,3,12,SOLO,157,20,189020,3035,3006,6671,6672,3153,6333,3340,164,1,7,10,CARRY,51,17,89997,1055,2003,3095,3006,6671,0,3340,109
CLASSIC,True,20,3,4,SOLO,82,30,203308,6665,4637,3116,3111,3075,3065,3340,197,9,4,5,SOLO,157,18,186740,3031,3006,6672,6673,1053,0,3340,171,13,8,5,CARRY,81,16,151570,3042,6694,3078,3077,3158,1036,3340,157,4,11,9,SUPPORT,161,66,60925,3853,1058,3145,3108,3020,6653,3364,28,5,15,4,NONE,154,8,177293,3068,3047,6665,3075,1011,0,3364,10,3,11,11,SUPPORT,412,43,29044,3050,3857,3190,3117,3023,1028,3340,35,3,2,11,SOLO,68,11,112540,4637,4636,1056,3113,3020,1052,3340,147,5,6,9,NONE,28,18,173601,4645,3020,3152,3041,0,0,3340,31,7,2,11,SOLO,777,16,144492,6672,6673,3031,1055,0,3006,3340,187,9,3,9,CARRY,222,27,198013,6672,3094,3031,3006,3036,0,3340,244
CLASSIC,False,5,1,1,NONE,83,21,167162,6694,3078,3047,3181,0,0,3340,203,1,6,5,NONE,154,26,146347,1033,0,1029,3158,3075,3068,3340,13,1,2,4,SOLO,81,17,104171,3078,3042,3158,1036,0,0,3340,140,2,3,7,SUPPORT,25,30,34646,6653,2423,3853,2010,3020,3191,3364,25,3,2,7,CARRY,99,18,77028,1056,3020,6655,4645,0,0,3340,119,0,17,1,SUPPORT,267,56,11948,3222,3853,2065,3158,1052,0,3364,5,3,4,2,SOLO,518,28,140119,3085,3051,3153,3006,1042,0,3340,141,3,4,6,NONE,113,16,100741,1102,3117,3084,3083,1029,0,3340,26,5,14,2,SOLO,126,36,135323,6692,2421,2055,3158,6694,3042,3364,164,13,5,1,CARRY,222,7,185282,3094,1055,6672,3006,3031,0,3363,182
CLASSIC,False,2,4,8,NONE,20,14,109637,3068,3047,6667,0,0,0,3340,17,3,4,7,SOLO,101,22,94165,1028,1052,0,3020,4628,6655,3340,125,6,4,10,CARRY,222,12,72527,6672,1053,3006,3031,1042,0,3340,125,4,5,10,SUPPORT,82,27,36567,3859,3076,4633,3047,1028,0,3340,42,2,3,5,SOLO,54,11,62568,1056,3111,6662,6660,1031,0,3340,117,1,16,7,SUPPORT,497,36,28195,3859,3050,2065,3117,2031,1004,3340,40,4,8,2,SOLO,36,7,95903,1054,3111,3084,3065,1057,0,3340,156,15,7,2,NONE,141,9,240535,6696,3158,6691,6694,3133,3067,3340,20,0,14,4,SOLO,267,13,59637,1056,3145,6655,3111,0,0,3340,73,20,5,2,CARRY,18,14,166173,6672,6675,3006,3036,1055,1053,3340,164
CLASSIC,True,0,0,0,SUPPORT,131,0,2428,1103,0,2003,0,0,0,3340,0,0,0,0,SUPPORT,115,0,1331,3070,0,2003,0,0,0,3340,4,0,0,0,SUPPORT,236,1,632,1036,0,2003,0,0,0,3340,3,0,0,0,SUPPORT,45,1,443,1056,0,2003,0,0,0,3340,0,0,0,0,SUPPORT,82,0,153,1056,0,2003,0,0,0,3340,2,0,0,0,SUPPORT,526,0,519,3854,0,2003,0,0,0,3340,0,0,0,0,SUPPORT,75,0,174,1054,0,2003,0,0,0,3340,1,0,0,0,SUPPORT,62,0,2071,1101,0,2003,0,0,0,3340,0,0,0,0,SUPPORT,103,0,698,1056,0,2003,0,0,0,3340,3,0,0,0,SUPPORT,221,0,0,1055,0,2003,0,0,0,0,0
ARAM,True,0,7,10,SUPPORT,266,0,25775,6691,6333,3047,0,0,0,0,27,32,10,14,SUPPORT,11,0,86902,6691,6672,3006,3153,6676,1043,0,40,0,0,0,SUPPORT,25,0,0,0,0,0,0,0,0,2052,0,8,13,10,SUPPORT,145,0,44206,3042,6655,3108,3020,1043,1026,2052,34,6,23,7,SUPPORT,9,3,44675,6653,3116,3157,3020,1028,0,3330,34,4,19,10,SUPPORT,516,0,28890,7026,3111,3801,3070,3068,1011,0,27,11,29,9,SUPPORT,59,0,41953,6691,3047,2031,6676,6333,3077,2052,33,10,14,8,SUPPORT,141,0,31626,3158,3004,6691,6676,3133,0,2052,24,7,20,9,SUPPORT,45,0,40893,7014,4645,3020,3108,1058,1058,0,31,9,15,10,SUPPORT,103,0,45859,6655,4628,3020,1058,1058,0,0,43
ARAM,False,15,28,9,DUO,136,0,124974,3116,6653,3135,3020,4637,3145,2052,98,10,34,13,SUPPORT,80,0,74619,6630,3161,3111,3071,6333,1036,2052,28,18,35,12,SOLO,50,0,134052,6653,3116,3157,3020,3065,4637,2052,76,9,19,18,SUPPORT,107,0,39545,3177,6676,6691,3508,6693,1036,2052,17,13,29,14,SUPPORT,233,0,83087,6632,6672,3006,3065,3153,3077,2052,44,17,28,11,CARRY,202,0,129694,6691,6676,3009,3094,3036,3072,2052,88,5,38,16,SOLO,54,0,63616,3135,6665,3040,3157,0,3111,2052,45,20,18,10,NONE,105,0,88133,3157,3020,3916,3100,4636,3135,0,33,9,43,11,SOLO,76,0,71740,6655,4628,2420,3089,4645,3020,2052,26,15,26,17,SUPPORT,36,0,98425,3084,3083,3111,4401,3075,3077,2052,49
